LINE_NUM,SPEC,TYPE_CODE,DESCRIPTION,FIRST_SIZE_NUMBER,SECOND_SIZE_NUMBER,TAG,Catalogacion,QTY_MTO,common_index,QTY_P&ID
"CS1SC2-12""-SCI-1-7-150",CS1SC2,ERE,"ECCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x20",12.0,8,-,-,1.0,"CS1SC2-12""-SCI-1-7-150 CS1SC2 ERE - 12 8",0.0
"CS1SC2-12""-SCI-1-7-150",CS1SC2,RTE,"REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STDx20",14.0,12,-,-,1.0,"CS1SC2-12""-SCI-1-7-150 CS1SC2 RTE - 14 12",0.0
"CS1SC2-12""-SCI-1-7-150",CS1SC2,RTE,,14.0,8.0,-,,0.0,"CS1SC2-12""-SCI-1-7-150 CS1SC2 RTE - 14 8",1.0
"CS1SC2-12""-SCI-1-7-151",CS1SC2,ERE,"ECCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x20",12.0,8,-,-,1.0,"CS1SC2-12""-SCI-1-7-151 CS1SC2 ERE - 12 8",0.0
"CS1SC2-12""-SCI-1-7-151",CS1SC2,RTE,"REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STDx20",14.0,12,-,-,1.0,"CS1SC2-12""-SCI-1-7-151 CS1SC2 RTE - 14 12",0.0
"CS1SC2-12""-SCI-1-7-151",CS1SC2,RTE,,14.0,8.0,-,,0.0,"CS1SC2-12""-SCI-1-7-151 CS1SC2 RTE - 14 8",1.0
"CS1SC2-12""-SCI-1-7-152",CS1SC2,ERE,"ECCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x20",12.0,8,-,-,1.0,"CS1SC2-12""-SCI-1-7-152 CS1SC2 ERE - 12 8",0.0
"CS1SC2-12""-SCI-1-7-152",CS1SC2,RTE,"REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STDx20",14.0,12,-,-,1.0,"CS1SC2-12""-SCI-1-7-152 CS1SC2 RTE - 14 12",0.0
"CS1SC2-12""-SCI-1-7-152",CS1SC2,RTE,,14.0,8.0,-,,0.0,"CS1SC2-12""-SCI-1-7-152 CS1SC2 RTE - 14 8",1.0
"CS1SC2-12""-SCI-1-7-153",CS1SC2,ERE,"ECCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x20",12.0,8,-,-,1.0,"CS1SC2-12""-SCI-1-7-153 CS1SC2 ERE - 12 8",0.0
"CS1SC2-12""-SCI-1-7-153",CS1SC2,RTE,"REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STDx20",14.0,12,-,-,1.0,"CS1SC2-12""-SCI-1-7-153 CS1SC2 RTE - 14 12",0.0
"CS1SC2-12""-SCI-1-7-153",CS1SC2,RTE,,14.0,8.0,-,,0.0,"CS1SC2-12""-SCI-1-7-153 CS1SC2 RTE - 14 8",1.0
"CS1SC2-14""-SCI-1-7-134",CS1SC2,BOLT,,1.0,145mm,-,,0.0,"CS1SC2-14""-SCI-1-7-134 CS1SC2 BOLT - 1 145mm",12.0
"CS1SC2-14""-SCI-1-7-134",CS1SC2,GAS,,14.0,-,-,,0.0,"CS1SC2-14""-SCI-1-7-134 CS1SC2 GAS - 14 -",1.0
"CS1SC2-14""-SCI-1-7-135",CS1SC2,BOLT,,1.0,145mm,-,,0.0,"CS1SC2-14""-SCI-1-7-135 CS1SC2 BOLT - 1 145mm",12.0
"CS1SC2-14""-SCI-1-7-135",CS1SC2,GAS,,14.0,-,-,,0.0,"CS1SC2-14""-SCI-1-7-135 CS1SC2 GAS - 14 -",1.0
"CS1SC2-14""-SCI-1-7-138",CS1SC2,BOLT,,1.0,145mm,-,,0.0,"CS1SC2-14""-SCI-1-7-138 CS1SC2 BOLT - 1 145mm",12.0
"CS1SC2-14""-SCI-1-7-138",CS1SC2,GAS,,14.0,-,-,,0.0,"CS1SC2-14""-SCI-1-7-138 CS1SC2 GAS - 14 -",1.0
"CS1SC2-14""-SCI-1-7-139",CS1SC2,BOLT,,1.0,145mm,-,,0.0,"CS1SC2-14""-SCI-1-7-139 CS1SC2 BOLT - 1 145mm",12.0
"CS1SC2-14""-SCI-1-7-139",CS1SC2,GAS,,14.0,-,-,,0.0,"CS1SC2-14""-SCI-1-7-139 CS1SC2 GAS - 14 -",1.0
"CS1SC2-14""-SCI-1-7-140",CS1SC2,BOLT,,1.0,145mm,-,,0.0,"CS1SC2-14""-SCI-1-7-140 CS1SC2 BOLT - 1 145mm",12.0
"CS1SC2-14""-SCI-1-7-140",CS1SC2,GAS,,14.0,-,-,,0.0,"CS1SC2-14""-SCI-1-7-140 CS1SC2 GAS - 14 -",1.0
"CS1SC2-14""-SCI-1-7-144",CS1SC2,BOLT,,1.0,145mm,-,,0.0,"CS1SC2-14""-SCI-1-7-144 CS1SC2 BOLT - 1 145mm",12.0
"CS1SC2-14""-SCI-1-7-144",CS1SC2,GAS,,14.0,-,-,,0.0,"CS1SC2-14""-SCI-1-7-144 CS1SC2 GAS - 14 -",1.0
"CS1SC2-14""-SCI-1-7-146",CS1SC2,BLD,,14.0,-,-,,0.0,"CS1SC2-14""-SCI-1-7-146 CS1SC2 BLD - 14 -",4.0
