,index,description_spec,description_piping,weight_spec,weight_piping,bolt_length_spec,bolt_length_piping,sch_piping,rating_piping
0,"CS1SC2 BOLT 3/4"" x120mm (8"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.41,69.85,120.0,-,-
1,"CS1SC2 BOLT 3/4"" x0mm (8"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.0,69.85,0.0,-,-
2,"CS1SC2 BOLT 3/4"" x135mm (8"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.438,69.85,135.0,-,-
3,"CS1SC2 WNK 8""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, FF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF, SCH 20",0.0,17.3,-,-,20,150
4,"CS1SC2 GAS 8""  -","Aramid Fiber Reinforced NBR, Nonmetallic Flat Gasket, ASME B16.21, FF as per ASME B16.5, Thk=1/8in","NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",0.0,0.09,-,-,-,150
5,"CS1SC2 90L 12""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20",0.0,46.06,-,-,20,-
6,"CS1SC2 ERE 12"" x8"" -","ASTM A234 Gr.WPB, Eccentric reducer, Seamless, ASME B16.9, BW Ends, Impact Test At 32°F According to Para 423.2.3 of ASME B31.4 For  Acceptance Criteria","ECCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x20",0.0,10.16,-,-,20x20,-
7,"CS1SC2 BE 12""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A53 GR B, ASME B36.10, BE, SCH 20",0.0,49.71,-,-,20,-
8,"CS1SC2 RTE 14"" x12"" -","ASTM A234 Gr.WPB, Reducing tee, Seamless, ASME B16.9, BW Ends","REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STDx20",0.0,31.1,-,-,STDx20,-
36,"CS1SC2 BOLT 1"" x145mm (14"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.873,82.55,145.0,-,-
37,"CS1SC2 BOLT 1"" x0mm (14"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.0,82.55,0.0,-,-
38,"CS1SC2 BOLT 1"" x170mm (14"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.957,82.55,170.0,-,-
39,"CS1SC2 45L 14""  -","ASTM A234 Gr.WPB, 45 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 45 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STD",0.0,34.0,-,-,STD,-
40,"CS1SC2 WNK 14""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF, SCH STD",0.0,50.49,-,-,STD,150
41,"CS1SC2 GAS 14""  -","AISI 304/Graphite, Spiral Wound Gasket, ASME B16.20, RF as per ASME B16.5, Thk=1/8in, Inner AISI 304/Outer CS","NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",0.0,0.23,-,-,-,150
42,"CS1SC2 BE 14""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A53 GR B, ASME B36.10, BE, SCH STD",0.0,81.33,-,-,STD,-
