,LINE_NUM,QTY,common_index
38,ADP-PMAR-SCI-SEG-3,1,"CS2SA1 CPL 3/4"" - -"
39,ADP-PMAR-SCI-SEG-3,1,"CS2SA1 CPL 1"" - -"
55,ADP-PMAR-SCI-SEG-39,1,"CS2SA1 CPL 1"" - -"
65,ADP-PMAR-SCI-SEG-4,1,"CS2SA1 CPL 3/4"" - -"
66,ADP-PMAR-SCI-SEG-4,1,"CS2SA1 CPL 1"" - -"
67,ADP-PMAR-SCI-SEG-4,1,"CS2SA1 CPL 1"" - -"
69,ADP-PMAR-SCI-SEG-4,1,"CS2SA1 CPL 1"" - -"
75,ADP-PMAR-SCI-SEG-41,1,"CS2SA1 CPL 1"" - -"
79,ADP-PMAR-SCI-SEG-41,1,"CS2SA1 CPL 1-1/2"" - -"
92,ADP-PMAR-SCI-SEG-42,1,"CS2SA1 CPL 1/2"" - -"
93,ADP-PMAR-SCI-SEG-42,2,"CS2SA1 CPL 1/2"" - -"
102,ADP-PMAR-SCI-SEG-42,2,"CS2SA1 CPL 1"" - -"
104,ADP-PMAR-SCI-SEG-42,3,"CS2SA1 CPL 1"" - -"
107,ADP-PMAR-SCI-SEG-42,1,"CS2SA1 CPL 1-1/2"" - -"
121,ADP-PMAR-SCI-SEG-5,1,"CS2SA1 CPL 1"" - -"
123,ADP-PMAR-SCI-SEG-5,1,"CS2SA1 CPL 3/4"" - -"
135,ADP-PMAR-SCI-SEG-6,1,"CS2SA1 CPL 1/2"" - -"
136,ADP-PMAR-SCI-SEG-6,1,"CS2SA1 CPL 3/4"" - -"
137,ADP-PMAR-SCI-SEG-6,1,"CS2SA1 CPL 1"" - -"
151,ADP-PMAR-SCI-SEG-6,1,"CS2SA1 CPL 3/4"" - -"
173,ADP-PMAR-SCI-SEG-6.4,1,"CS2SA1 CPL 1/2"" - -"
185,ADP-PMAR-SCI-SEG-6.6,1,"CS2SA1 CPL 1/2"" - -"
187,ADP-PMAR-SCI-SEG-6.6,1,"CS2SA1 CPL 1/2"" - -"
196,ADP-PMAR-SCI-SEG-8,2,"CS2SA1 CPL 1-1/2"" - -"
211,ADP-PMAR-SCI-SEG-8,1,"CS2SA1 CPL 1/2"" - -"
212,ADP-PMAR-SCI-SEG-8,1,"CS2SA1 CPL 1"" - -"
213,ADP-PMAR-SCI-SEG-8,1,"CS2SA1 CPL 1"" - -"
216,ADP-PMAR-SCI-SEG-8,3,"CS2SA1 CPL 1"" - -"
217,ADP-PMAR-SCI-SEG-8,2,"CS2SA1 CPL 1-1/2"" - -"
220,ADP-PMAR-SCI-SEG-9,1,"CS2SA1 CPL 3/4"" - -"
235,ADP-PMAR-SCI-SEG-9,1,"CS2SA1 CPL 3/4"" - -"
248,ADP-PMAR-SCI-SEG-9.1,1,"CS2SA1 CPL 3/4"" - -"
