LINE_NUM,SPEC,TYPE_CODE,DESCRIPTION,FIRST_SIZE_NUMBER,SECOND_SIZE_NUMBER,TAG,Catalogacion,QTY_MTO,QTY_P&ID
"CS1SC2-12""-SCI-1-7-150",CS1SC2,BOLT,"STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.75,0mm,-,-,8.0,0.0
"CS1SC2-12""-SCI-1-7-150",CS1SC2,BOLT,"STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.75,120mm,-,-,8.0,0.0
"CS1SC2-12""-SCI-1-7-150",CS1SC2,BOLT,"STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.75,135mm,-,-,8.0,0.0
"CS1SC2-12""-SCI-1-7-150",CS1SC2,ERE,"ECCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x20",12.0,8,-,-,1.0,0.0
"CS1SC2-12""-SCI-1-7-150",CS1SC2,GAS,"NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",8.0,-,-,-,1.0,0.0
"CS1SC2-12""-SCI-1-7-150",CS1SC2,RTE,"REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STDx20",14.0,12,-,-,1.0,0.0
"CS1SC2-12""-SCI-1-7-150",CS1SC2,WNK,"WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF, SCH 20",8.0,-,-,-,1.0,0.0
"CS1SC2-12""-SCI-1-7-151",CS1SC2,BOLT,"STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.75,0mm,-,-,8.0,0.0
"CS1SC2-12""-SCI-1-7-151",CS1SC2,BOLT,"STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.75,120mm,-,-,8.0,0.0
"CS1SC2-12""-SCI-1-7-151",CS1SC2,BOLT,"STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.75,135mm,-,-,8.0,0.0
"CS1SC2-12""-SCI-1-7-151",CS1SC2,ERE,"ECCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x20",12.0,8,-,-,1.0,0.0
"CS1SC2-12""-SCI-1-7-151",CS1SC2,GAS,"NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",8.0,-,-,-,1.0,0.0
"CS1SC2-12""-SCI-1-7-151",CS1SC2,RTE,"REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STDx20",14.0,12,-,-,1.0,0.0
"CS1SC2-12""-SCI-1-7-151",CS1SC2,WNK,"WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF, SCH 20",8.0,-,-,-,1.0,0.0
"CS1SC2-12""-SCI-1-7-152",CS1SC2,BOLT,"STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.75,0mm,-,-,8.0,0.0
