MARK,LINE_NUM,SPEC_FILE,DB_CODE,DESCRIPTION,SHORT_DESC,SIZE,MAIN_NOM,RED_NOM,THK_NOM,QTY,TAG,LENGTH,WEIGHT
1,"8""-FWA-CS1SC2-001",CS1SC2,GAT,,,"8""","8""",,,1,GAV413C3J2G,0,0
2,"8""-FWA-CS1SC2-001",CS1SC2,BE,,,"8""","8""",,,,,2,0
3,"8""-FWA-CS1SC2-001",CS1SC2,BE,,,"6""","6""",,,,,1,0
4,"8""-FWA-CS1SC2-001",CS1SC2,SOL,,,"8""x1/2""","8""","1/2""",,1,,0,0
5,"8""-FWA-CS1SC2-001",CS1SC2,GAT,,,"1/2""","1/2""",,,1,GAV41H4J2G,0,0
6,"8""-FWA-CS1SC2-001",CS1SC2,NIP,,,"1/2""","1/2""",,,1,PExTE,100,0
7,"8""-FWA-CS1SC2-001",CS1SC2,WNK,,,"8""","8""",,,1,,0,0
8,"8""-FWA-CS1SC2-001",CS1SC2,BOLT,,,"5/8""","8""",,,16,,90,0
9,"8""-FWA-CS1SC2-001",CS1SC2,GAS,,,"8""","8""",,,2,,0,0
10,"8""-FWA-CS1SC2-001",CS1SC2,WNK,,,"6""","6""",,,1,,0,0
11,"8""-FWA-CS1SC2-001",CS1SC2,BOLT,,,"5/8""","6""",,,8,,90,0
12,"8""-FWA-CS1SC2-001",CS1SC2,GAS,,,"6""","6""",,,1,,0,0
13,"8""-FWA-CS1SC2-001",CS1SC2,ERE,,,"8""x6""","8""","6""",,1,,0,0
14,"6""-FWA-CS1SC2-002",CS1SC2,WNK,,,"6""","6""",,,4,,0,0
15,"6""-FWA-CS1SC2-002",CS1SC2,BOLT,,,"5/8""","6""",,,40,,95,0
16,"6""-FWA-CS1SC2-002",CS1SC2,GAS,,,"6""","6""",,,5,,0,0
17,"6""-FWA-CS1SC2-002",CS1SC2,BE,,,"6""","6""",,,,,3,0
18,"6""-FWA-CS1SC2-002",CS1SC2,SOL,,,"8""x1/2""","8""","1/2""",,1,,0,0
19,"6""-FWA-CS1SC2-002",CS1SC2,GAT,,,"1/2""","1/2""",,,1,GAV41H4J2G,0,0
20,"6""-FWA-CS1SC2-002",CS1SC2,NIP,,,"1/2""","1/2""",,,1,PExTE,100,0
21,"6""-FWA-CS1SC2-002",CS1SC2,CHS,,,"6""","6""",,,1,CKV413C3J2G,0,0
22,"6""-FWA-CS1SC2-002",CS1SC2,GAT,,,"6""","6""",,,1,GAV413C3J2G,0,0
23,"6""-FWA-CS1SC2-002",CS1SC2,TEE,,,"6""","6""",,,2,,0,0
24,"6""-FWA-CS1SC2-003",CS1SC2,GAT,,,"6""","6""",,,1,GAV413C3J2G,0,0
25,"6""-FWA-CS1SC2-003",CS1SC2,WNK,,,"6""","6""",,,2,,0,0
26,"6""-FWA-CS1SC2-003",CS1SC2,BOLT,,,"5/8""","6""",,,16,,95,0
27,"6""-FWA-CS1SC2-003",CS1SC2,GAS,,,"6""","6""",,,2,,0,0
28,"6""-FWA-CS1SC2-003",CS1SC2,BE,,,"6""","6""",,,,,3,0
29,"6""-FWA-CS1SC2-003",CS1SC2,CAP,,,"6""","6""",,,2,,0,0
30,"6""-FWA-CS1SC2-003",CS1SC2,WOL,,,"6""x2-1/2""","6""","2-1/2""",,4,,0,0
31,"6""-FWA-CS1SC2-003",CS1SC2,NIP,,,"2-1/2""","2-1/2""",,,4,PExTE,100,0
32,"6""-FWA-CS1SC2-003",CS1SC2,GLB,,,"2-1/2""","2-1/2""",,,4,GLV415J4J2G,0,0
33,"6""-FWA-CS1SC2-004",CS1SC2,TEE,,,"6""","6""",,,2,,0,0
34,"6""-FWA-CS1SC2-004",CS1SC2,BE,,,"6""","6""",,,,,10,0
35,"6""-FWA-CS1SC2-004",CS1SC2,GAT,,,"6""","6""",,,2,GAV413C3J2G,0,0
36,"6""-FWA-CS1SC2-004",CS1SC2,WNK,,,"6""","6""",,,4,,0,0
37,"6""-FWA-CS1SC2-004",CS1SC2,BOLT,,,"5/8""","6""",,,32,,95,0
38,"6""-FWA-CS1SC2-004",CS1SC2,GAS,,,"6""","6""",,,4,,0,0
39,"6""-FWA-CS1SC2-004",CS1SC2,RTE,,,"6""x4""","6""","4""",,1,,0,0
40,"4""-FWA-CS1SC2-005",CS1SC2,BE,,,"4""","4""",,,,,2,0
41,"4""-FWA-CS1SC2-005",CS1SC2,WNK,,,"4""","4""",,,1,,0,0
42,"4""-FWA-CS1SC2-005",CS1SC2,BOLT,,,"5/8""","4""",,,8,,95,0
43,"4""-FWA-CS1SC2-005",CS1SC2,GAS,,,"4""","4""",,,1,,0,0
44,"6""GAV413C3J2G-05",CS1SC2,BE,,,"6""","6""",,,,,1,0
45,"6""GAV413C3J2G-05",CS1SC2,GAT,,,"6""","6""",,,1,GAV413C3J2G,0,0
46,"6""GAV413C3J2G-05",CS1SC2,WNK,,,"6""","6""",,,2,,0,0
47,"6""GAV413C3J2G-05",CS1SC2,BOLT,,,"5/8""","6""",,,16,,95,0
48,"6""GAV413C3J2G-05",CS1SC2,GAS,,,"6""","6""",,,2,,0,0
49,"6""GAV413C3J2G-06",CS1SC2,BE,,,"6""","6""",,,,,1,0
50,"6""GAV413C3J2G-06",CS1SC2,GAT,,,"6""","6""",,,1,GAV413C3J2G,0,0
51,"6""GAV413C3J2G-06",CS1SC2,WNK,,,"6""","6""",,,2,,0,0
52,"6""GAV413C3J2G-06",CS1SC2,BOLT,,,"5/8""","6""",,,16,,95,0
53,"6""GAV413C3J2G-06",CS1SC2,GAS,,,"6""","6""",,,2,,0,0
54,"6""GAV413C3J2G-07",CS1SC2,BE,,,"6""","6""",,,,,1,0
55,"6""GAV413C3J2G-07",CS1SC2,GAT,,,"6""","6""",,,1,GAV413C3J2G,0,0
56,"6""GAV413C3J2G-07",CS1SC2,WNK,,,"6""","6""",,,2,,0,0
57,"6""GAV413C3J2G-07",CS1SC2,BOLT,,,"5/8""","6""",,,16,,95,0
58,"6""GAV413C3J2G-07",CS1SC2,GAS,,,"6""","6""",,,2,,0,0
59,"6""GAV413C3J2G-08",CS1SC2,BE,,,"6""","6""",,,,,1,0
60,"6""GAV413C3J2G-08",CS1SC2,GAT,,,"6""","6""",,,1,GAV413C3J2G,0,0
61,"6""GAV413C3J2G-08",CS1SC2,WNK,,,"6""","6""",,,2,,0,0
62,"6""GAV413C3J2G-08",CS1SC2,BOLT,,,"5/8""","6""",,,16,,95,0
63,"6""GAV413C3J2G-08",CS1SC2,GAS,,,"6""","6""",,,2,,0,0
64,"4""GAV413C3J2G-10",CS1SC2,BE,,,"4""","4""",,,,,1,0
65,"4""GAV413C3J2G-10",CS1SC2,GAT,,,"4""","4""",,,1,GAV413C3J2G,0,0
66,"4""GAV413C3J2G-10",CS1SC2,WNK,,,"4""","4""",,,2,,0,0
67,"4""GAV413C3J2G-10",CS1SC2,BOLT,,,"5/8""","4""",,,16,,95,0
68,"4""GAV413C3J2G-10",CS1SC2,GAS,,,"4""","4""",,,2,,0,0
69,"4""-FWA-CS1SC2-006",CS1SC2,TEE,,,"4""","4""",,,1,,0,0
70,"4""-FWA-CS1SC2-006",CS1SC2,BE,,,"4""","4""",,,,,2,0
71,"4""-FWA-CS1SC2-006",CS1SC2,WNK,,,"4""","4""",,,1,,0,0
72,"4""-FWA-CS1SC2-006",CS1SC2,BOLT,,,"5/8""","4""",,,8,,95,0
73,"4""-FWA-CS1SC2-006",CS1SC2,GAS,,,"4""","4""",,,1,,0,0
74,TIE-IN-017,CS1SC2,WNK,,,"4""","4""",,,1,,0,0
75,TIE-IN-017,CS1SC2,BOLT,,,"5/8""","4""",,,8,,95,0
76,TIE-IN-017,CS1SC2,GAS,,,"4""","4""",,,1,,0,0
