ITEM,LINE NUMBER,GTYPE,STYPE,SPEC,SIZE,SCHEDULE,RATING,FACING,COMPONENT DESCRIPTION,UNITS,QUANTITY,PESO
1.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",PIP,BE,CS2SA1,4,STD,-,-,"PIPE, SEAMLESS, CS, ASTM A53 GR. B, ASME B36.10, BE, SCH STD",m,7.66 m,16.08
2.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",PIP,BE,CS2SA1,4,STD,-,-,"PIPE, SEAMLESS, CS, ASTM A53 GR. B, ASME B36.10, BE, SCH STD",m,3.61 m,16.08
3.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",PIP,BE,CS2SA1,12,STD,-,-,"PIPE, SEAMLESS, CS, ASTM A53 GR. B, ASME B36.10, BE, SCH STD",m,6.43 m,73.86
4.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",PIP,BE,CS2SA1,12,STD,-,-,"PIPE, SEAMLESS, CS, ASTM A53 GR. B, ASME B36.10, BE, SCH STD",m,0.76 m,73.86
5.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",BOLT,BOLT,CS2SA1,0 X 0.10 m,-,150LB,RF,"STUD BOLT, ASTM A193 GR. B7 W/2 HEX NUTS ASTM A194 GR. 2H, ASME B18.2.1/B18.2.2, L=100mm",ea,64,1.592
6.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",BOLT,BOLT,CS2SA1,1/8 X 0.14 m,-,150LB,RF,"STUD BOLT, ASTM A193 GR. B7 W/2 HEX NUTS ASTM A194 GR. 2H, ASME B18.2.1/B18.2.2, L=135mm",ea,36,7.584
7.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",NIPP,NIP,CS2SA1,1/2 X 0.15 m,160,-,-,"NIPPLE, CS, ASTM A106 GR. B, ASME B36.10, L=6in, PE, SCH 160",ea,2,0.29718
8.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",NIPP,NIP,CS2SA1,1 X 0.07 m,XS,-,-,"NIPPLE, CS, ASTM A106 GR. B, ASME B36.10, L=3in, PE, SCH XS",ea,2,0.24689
12.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",VALV,BAL,CS2SA1,3/4,-,800LB,-,"BALL VALVE, FLOATING, FB, SB, CS, ASTM A105, ASME B16.34, 316 SS BALL, SWxTHD (W/ 1 PE NIPP SCH 80 x 6""), CLASS 800LB, LO, ""VBK-115""",ea,2,2.4
13.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",VALV,BAL,CS2SA1,4,-,150LB,RF,"BALL VALVE, FLOATING, RB, SB, CS, ASTM A105, API 608, 316 SS BALL, CLASS 150LB, RF, LO, ""VBA-104""",ea,4,52.0
14.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",VALV,GAT,CS2SA1,12,-,150LB,RF,"GATE VALVE, FB, BB, OS&Y, CS, ASTM A216 GR. WCB, API 600, API TRIM 8, CLASS 150LB, RF, GO, ""VCA-105""",ea,1,298.0
15.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",GAS,GAS,CS2SA1,4,-,150LB,RF,"SPIRAL WOUND GASKET, SS, AISI 304 W/ GRAPHITE FILLER, INNER RING, THK 1/8"", ASME B16.20, CLASS 150LB, RF",ea,8,0.235
16.0,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",GAS,GAS,CS2SA1,12,-,150LB,RF,"SPIRAL WOUND GASKET, SS, AISI 304 W/ GRAPHITE FILLER, INNER RING, THK 1/8"", ASME B16.20, CLASS 150LB, RF",ea,3,0.905
