MARK,LINE_NUM,SPEC_FILE,DB_CODE,DESCRIPTION,SHORT_DESC,SIZE,MAIN_NOM,RED_NOM,THK_NOM,QTY,TAG,LENGTH,WEIGHT
7,,CS2SA1,90L,"ELBOW 90 DEG LR, SEAMLESS, CS, ASTM A234 Gr.WPB, ASME B16.9, BW, SCH 40","ELBOW 90 DEG LR, SEAMLESS, CS, ASTM A234 Gr.WPB, ASME B16.9, BW, SCH 40","4""","4""",,6.02,2,,,7.75
10,,CS2SA1,90L,"ELL, 90 LR S/XS, ASTM A-234 GR WPB",LR 90 ELL;,"1""","1""",,4.5466,4,,,0.72
11,,CS2SA1,90L,"ELL, 90 LR S/STD, ASTM A-234 GR WPB",LR 90 ELL;,"2""","2""",,3.9116,2,,,1.36
12,,CS2SA1,90L,"ELL, 90 LR S/STD, ASTM A-234 GR WPB",LR 90 ELL;,"6""","6""",,7.112,5,,,51.70
13,,CS2SA1,90L,"ELL, 90 LR S/STD, ASTM A-234 GR WPB",LR 90 ELL;,"8""","8""",,8.1788,1,,,20.37
57,,CS2SA1,90L,"90 ELL, SW 3000LB FS, ASTM A-105",90 SW ELL;,"3/4""","3/4""",,3.9116,6,,,1.86
65,,CS2SA1,BAL,"BALL VALVE, 800LB SW",BALL VAL SW,"3/4""","3/4""",,3.9116,5,BAV24G0I1C,45,1.70
70,,CS4SA1,BAL,"PLUG VALVE, 600LB FLG",PLUG VAL FLG,"3""","3""",,5.4864,1,BAV23A0I1C,356,41.28
71,,CS2SA1,BAL,"ANGLE VALVE, 800LB SW",ANGLE VAL SW,"3/4""","3/4""",,3.9116,2,BAV24G0I1C,,4.58
3,,CS2SA1,BE,"PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, BE, SCH 40","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, BE, SCH 40","4""","4""",,6.02,1,,3028,48.98
4,,CS2SA1,BE,"PIPE, SMLS, SCH STD, ASTM A106 GR B",Pipe,"6""","6""",,7.11,1,,1967,55.54
5,,CS2SA1,BE,"PIPE, S/STD SMLS, ASTM A-106 GR B",PIPE,"2""","2""",,3.9116,1,,4255,0.0
6,,CS4SA1,BE,"PIPE, S/STD SMLS, ASTM A-106 GR B",PIPE,"3""","3""",,5.4864,1,,577,0.0
8,,CS2SA1,BE,"PIPE, S/STD SMLS, ASTM A-106 GR B",PIPE,"6""","6""",,7.112,1,,12681,0.0
9,,CS2SA1,BE,"PIPE, S/STD SMLS, ASTM A-106 GR B",PIPE,"8""","8""",,8.1788,1,,264,0.0
26,,CS2SA1,BOLT,"STUD BOLTS W/ NUTS, 102 LG, ASTM A193/194 GR B7/2H",Stud Bolts,"3/4""","6""",,,32,,102,4.00
27,,CS2SA1,BOLT,"STUD BOLTS W/ NUTS, 95 LG, ASTM A193/194 GR B7/2H",Stud Bolts,"5/8""","4""",,,16,,95,2.00
41,,CS4SA1,BOLT,STUD BOLTS W/ NUTS,STUD W/ NUTS,"1""","6""",,,72,,172,6.00
42,,CS2SA1,BOLT,"ESPARRAGOS L=64 mm, CON 2 TUERCAS","ESPARRAGOS L=64 mm, CON 2 TUERCAS","1/2""","1""",,,16,,64,4.04
43,,CS2SA1,BOLT,"ESPARRAGOS L=70 mm, CON 2 TUERCAS","ESPARRAGOS L=70 mm, CON 2 TUERCAS","1/2""","1""",,,4,,70,1.00
44,,CS2SA1,BOLT,"ESPARRAGOS L=114 mm, CON 2 TUERCAS","ESPARRAGOS L=114 mm, CON 2 TUERCAS","3/4""","8""",,,8,,114,1.05
45,,CS4SA1,BOLT,STUD BOLTS W/ NUTS,STUD W/ NUTS,"3/4""","1-1/2""",,,16,,127,2.00
46,,CS2SA1,BOLT,"ESPARRAGOS L=95 mm, CON 2 TUERCAS","ESPARRAGOS L=95 mm, CON 2 TUERCAS","5/8""","4""",,,24,,95,3.00
47,,CS4SA1,BOLT,STUD BOLTS W/ NUTS,STUD W/ NUTS,"5/8""","4""",,,16,,108,2.00
59,,CS4SA1,CAP,"CAP, SW 6000LB FS, ASTM A-105",CAP SW,"3/4""","3/4""",,3.9116,1,,,0.26
