LINE_NUM,SPEC,TYPE_CODE,FIRST_SIZE_NUMBER,SECOND_SIZE_NUMBER,TAG,CSO,CSC,NO_LOCKING_DEVICE
"CS2SA1-6""-ALV-1-5-001",CS2SA1,WNK,6,,,,,4
"CS2SA1-6""-ALV-1-5-001",CS2SA1,GAS,6,,,,,4
"CS2SA1-6""-ALV-1-5-001",CS3SA1,WNK,6,,,,,1
"CS2SA1-6""-ALV-1-5-001",CS3SA1,GAS,6,,,,,1
"CS2SA1-6""-ALV-1-5-001",CS2SA1,TEE,6,,,,,1
"CS2SA1-6""-ALV-1-5-001",CS2SA1,SOL,6,0.75,,,,5
"CS2SA1-6""-ALV-1-5-001",CS2SA1,SW,0.75,,,,,5
"CS2SA1-6""-ALV-1-5-001",CS2SA1,GAS,0.75,,,,,5
"CS2SA1-6""-ALV-1-5-001",CS2SA1,DBB,0.75,,MFV21A0I2I,,,4
"CS2SA1-6""-ALV-1-5-001",CS2SA1,BAL,0.75,,BAV24G0I1C,,1,
"CS2SA1-6""-ALV-1-5-001",CS2SA1,YST,6,,,,,1
"CS2SA1-6""-ALV-1-5-001",CS2SA1,BAL,1,,BAV24G0I1C,,,1
"CS2SA1-6""-ALV-1-5-001",CS2SA1,SW,1,,,,,1
"CS2SA1-6""-ALV-1-5-001",CS2SA1,GAS,1,,,,,1
"CS2SA1-6""-ALV-1-5-001",CS2SA1,BLD,1,,,,,1
"CS2SA1-6""-ALV-1-5-001",CS2SA1,BAL,0.75,,BAV24G0I1C,,,
"CS2SA1-6""-ALV-1-5-006",CS2SA1,WNK,6,,,,,2
"CS2SA1-6""-ALV-1-5-006",CS2SA1,GAS,5,,,,,2
"CS2SA1-6""-ALV-1-5-006",CS2SA1,TEE,6,,,,,2
"CS2SA1-6""-ALV-1-5-006",CS2SA1,CAP,6,,,,,2
"CS2SA1-6""-ALV-1-5-006",CS2SA1,BAL,6,,BAV21A0F1C,,,1
"CS2SA1-6""-ALV-1-5-006",CS2SA1,GAT,1.5,,GAV24F0B2B,,,1
"CS2SA1-6""-ALV-1-5-006",CS2SA1,GAT,2,,GAV21A0B2B,,,1
"CS2SA1-6""-ALV-1-5-006",CS2SA1,GAT,3,,GAV21A0B2B,,,2
"CS2SA1-6""-ALV-1-5-006",CS2SA1,SOL,6,1.5,,,,1
"CS2SA1-6""-ALV-1-5-006",CS2SA1,WOL,6,2,,,,1
"CS2SA1-6""-ALV-1-5-006",CS2SA1,WOL,6,3,,,,2
"CS2SA1-6""-ALV-1-5-006",CS2SA1,WNK,2,,,,,2
"CS2SA1-6""-ALV-1-5-006",CS2SA1,GAS,2,,,,,2
"CS2SA1-6""-ALV-1-5-006",CS2SA1,WNK,3,,,,,4
"CS2SA1-6""-ALV-1-5-006",CS2SA1,GAS,3,,,,,4
"CS2SA1-3""-ALV-1-5-002",CS3SA1,WNK,4,,,,,1
"CS2SA1-3""-ALV-1-5-002",CS3SA1,GAS,4,,,,,1
"CS2SA1-3""-ALV-1-5-002",CS2SA1,CRE,4,3,,,,1
"CS2SA1-3""-ALV-1-5-002",CS2SA1,SOL,3,0.75,,,,3
"CS2SA1-3""-ALV-1-5-002",CS2SA1,SW,0.75,,,,,3
"CS2SA1-3""-ALV-1-5-002",CS2SA1,GAS,0.75,,,,,3
"CS2SA1-3""-ALV-1-5-002",CS2SA1,DBB,0.75,,MFV21A0I2I,,,2
"CS2SA1-3""-ALV-1-5-002",CS2SA1,WNK,3,,,,,4
"CS2SA1-3""-ALV-1-5-002",CS2SA1,GAS,3,,,,,5
"CS2SA1-3""-ALV-1-5-002",CS2SA1,BAL,0.75,,BAV24G0I1C,,1,
"CS2SA1-3""-ALV-1-5-002",CS2SA1,CHS,3,,CKV21A0B2B,,,1
"CS2SA1-3""-ALV-1-5-002",CS2SA1,RTE,0.75,0.5,,,,1
"CS2SA1-1/2""-SUM-1-5-007",,,,,,,,
"CS2SA1-1/2""-SUM-1-5-008",CS2SA1,SW,0.5,,,,,1
"CS2SA1-1/2""-SUM-1-5-008",CS2SA1,GAS,0.5,,,,,2
"CS2SA1-1/2""-SUM-1-5-008",CS2SA1,CHL,0.5,,CLV24F0B2B,,,1
"CS2SA1-1/2""-SUM-1-5-008",CS2SA1,BAL,0.5,,BAV24G0I1C,,,1
"CS2SA1-4""-ALV-1-5-005",CS2SA1,BLD,4,,,,,1
"CS2SA1-4""-ALV-1-5-005",CS2SA1,WNK,4,,,,,1
"CS2SA1-4""-ALV-1-5-005",CS2SA1,GAS,4,,,,,1
"CS2SA1-4""-ALV-1-5-005",CS3SA1,WNK,4,,,,,1
"CS2SA1-4""-ALV-1-5-005",CS3SA1,GAS,4,,,,,3
"CS2SA1-4""-ALV-1-5-005",CS3SA1,CHS,4,,CKV22A0B2B,,,1
"CS2SA1-4""-ALV-1-5-005",CS2SA1,RTE,4,3,,,,3
"CS2SA1-3""-ALV-1-5-004",CS2SA1,BAL,3,,BAV21A0I1C,,,1
"CS2SA1-3""-ALV-1-5-004",CS2SA1,WNK,3,,,,,2
"CS2SA1-3""-ALV-1-5-004",CS2SA1,GAS,3,,,,,2
"CS2SA1-3""-ALV-1-5-003",CS2SA1,CRE,3,2,,,,3
"CS2SA1-3""-ALV-1-5-003",CS2SA1,WNK,2,,,,,2
"CS2SA1-3""-ALV-1-5-003",CS2SA1,GAS,2,,,,,2
"CS2SA1-3""-ALV-1-5-003",CS2SA1,GLB,2,,GLV21A0B2B,,,1
"CS2SA1-3""-ALV-1-5-003",CS2SA1,SOL,3,0.75,,,,1
"CS2SA1-3""-ALV-1-5-003",CS2SA1,SW,0.75,,,,,1
"CS2SA1-3""-ALV-1-5-003",CS2SA1,GAS,0.75,,,,,1
"CS2SA1-3""-ALV-1-5-003",CS2SA1,DBB,0.75,,MFV21A0I2I,,,1
"CS2SA1-3""-ALV-1-5-003",CS3SA1,WNK,2,,,,,4
"CS2SA1-3""-ALV-1-5-003",CS3SA1,GAS,2,,,,,3
"CS2SA1-3""-ALV-1-5-003",CS3SA1,CHS,2,,CKV22A0B2B,,,1
CS2SA1-SPOOL TEMOPORAL PRUEBA,,,,,,,,
