AREA,CODE,CATALOG,TITLE,DESCRIPTION,UNIT,QTY,NOTE
 MEC-TUB,3.2.1,CATALOGAR,DESMANTELAMIENTO DE EQUIPOS MECÁNICOS,DESMANTELAMIENTO DE EQUIPOS MECÁNICOS ROTATIVOS,TON,0,
 MEC-TUB,3.2.2,CATALOGAR,DESMANTELAMIENTO DE EQUIPOS MECÁNICOS,DESMANTELAMIENTO DE EQUIPOS MECÁNICOS ESTÁTICOS,TON,0,
 MEC-TUB,3.3,3016324,SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS,"SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS CON PERLITA EXPANDIDA DE 1/2 "" DE ESPESOR",M2,0,
 MEC-TUB,3.3,3016325,SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS,"SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS CON PERLITA EXPANDIDA DE 1 "" DE ESPESOR",M2,0,
 MEC-TUB,3.3,3017677,SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS,"SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS CON PERLITA EXPANDIDA DE 1 -1/2 "" DE ESPESOR",M2,0,
 MEC-TUB,3.3,3017368,SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS,"SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS CON PERLITA EXPANDIDA DE 2 "" DE ESPESOR",M2,0,
 MEC-TUB,3.3,3017367,SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS,"SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS CON FIBRA DE VIDRIO DE 1/2 "" DE ESPESOR",M2,0,
 MEC-TUB,3.3,3017366,SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS,"SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS CON FIBRA DE VIDRIO DE 1 "" DE ESPESOR",M2,0,
 MEC-TUB,3.3,3017365,SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS,"SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS CON FIBRA DE VIDRIO DE 1 -1/2 "" DE ESPESOR",M2,0,
 MEC-TUB,3.3,3018249,SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS,"SUMINISTRO E INSTALACION DE AISLAMIENTO TÉRMICO DE EQUIPOS CON FIBRA DE VIDRIO DE 2 "" DE ESPESOR",M2,0,
 MEC-TUB,3.4.1,3016990,MONTAJE DE EQUIPOS MECÁNICOS ,MONTAJE EQUIPOS MECANICOS ROTATIVOS HASTA 5 TON,TON,0,
 MEC-TUB,3.4.1,3016989,MONTAJE DE EQUIPOS MECÁNICOS ,MONTAJE EQUIPOS MECANICOS ROTATIVOS MAYORES A 5 TON HASTA 10 TON,TON,0,
 MEC-TUB,3.4.1,3016987,MONTAJE DE EQUIPOS MECÁNICOS ,MONTAJE EQUIPOS MECANICOS ROTATIVOS MAYORES DE 10 TON HASTA 20 TON,TON,0,
 MEC-TUB,3.4.1,3016988,MONTAJE DE EQUIPOS MECÁNICOS ,MONTAJE EQUIPOS MECANICOS ROTATIVOS MAYORES DE 20 TON HASTA 30 TON,TON,0,
 MEC-TUB,3.4.2,3016867,MONTAJE DE EQUIPOS MECÁNICOS ,MONTAJE EQUIPOS MECANICOS ESTATICOS HASTA 5 TON,TON,0,
 MEC-TUB,3.4.2,3016864,MONTAJE DE EQUIPOS MECÁNICOS ,MONTAJE EQUIPOS MECANICOS ESTATICOS MAYORES A 5 TON HASTA 10 TON,TON,0,
 MEC-TUB,3.4.2,3016865,MONTAJE DE EQUIPOS MECÁNICOS ,MONTAJE EQUIPOS MECANICOS ESTATICOS MAYORES DE 10 TON HASTA 20 TON,TON,0,
 MEC-TUB,3.4.2,3016866,MONTAJE DE EQUIPOS MECÁNICOS ,MONTAJE EQUIPOS MECANICOS ESTATICOS MAYORES DE 20 TON HASTA 30 TON,TON,0,
 MEC-TUB,3.5,3016874,MONTAJE DE EQUIPOS PAQUETIZADOS,MONTAJE DE EQUIPOS PAQUETIZADOS HASTA 5 TON,TON,0,
 MEC-TUB,3.5,3016873,MONTAJE DE EQUIPOS PAQUETIZADOS,MONTAJE DE EQUIPOS PAQUETIZADOS MAYORES DE 5 TON HASTA 10 TON ,TON,0,
 MEC-TUB,3.5,3016872,MONTAJE DE EQUIPOS PAQUETIZADOS,MONTAJE DE EQUIPOS PAQUETIZADOS MAYORES DE 10 TON HASTA 20 TON,TON,0,
 MEC-TUB,3.6,3023021,MANTENIMIENTO DE PRESERVACIÓN PARA MOTOR DE 2000 HP ,MANTENIMIENTO DE PRESERVACIÓN PARA MOTOR DE 2000 HP,UN,0,
 MEC-TUB,3.7,3023044,MONTAJE PUENTE GRUA DE 10 TONELADAS ,MONTAJE PUENTE GRÚA 10 TONELADAS,UN,0,
 MEC-TUB,3.8,3023045,ADECUACION DE PUENTE GRUA DE 10 TONELADAS,ADECUACIÓN PUENTE GRÚA 10 TONELADAS,UN,0,
 MEC-TUB,3.9,CATALOGAR,MONTAJE DE EQUIPOS Y ACCESORIOS CONTRAINCENDIO ,"MONTAJE DE HIDRANTE-MONITOR PARA Ø DE 2 "" HASTA 4 """,KG,0,
 MEC-TUB,3.9,CATALOGAR,MONTAJE DE EQUIPOS Y ACCESORIOS CONTRAINCENDIO ,"MONTAJE DE HIDRANTE-MONITOR PARA Ø DE 6 "" HASTA 8 """,KG,0,
 MEC-TUB,3.9,3016827,MONTAJE DE EQUIPOS Y ACCESORIOS CONTRAINCENDIO ,MONTAJE DE BOQUILLA CONTRAINCENDIO,UN,0,
 MEC-TUB,3.9,3016829,MONTAJE DE EQUIPOS Y ACCESORIOS CONTRAINCENDIO ,MONTAJE DE ROCIADOR CONTRAINCENDIO,UN,0,
 MEC-TUB,3.1,CATALOGAR,DESMANTELAMIENTO DE EQUIPOS Y ACCESORIOS CONTRAINCENDIO ,DESMANTELAMIENTO DE ROCIADORES,UN,0,
 MEC-TUB,3.1,CATALOGAR,DESMANTELAMIENTO DE EQUIPOS Y ACCESORIOS CONTRAINCENDIO ,DESMANTELAMIENTO DE HIDRANTES,KG,0,
 MEC-TUB,4.2,3017688,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 BE SEAMLESS ASTM A106 GR.  B, 8 "", S-20",M,1,
 MEC-TUB,4.2,3017699,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 BE SEAMLESS ASTM A53 GR.  B, 2 "", S-40",M,0,
 MEC-TUB,4.2,3017701,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 2 "", S-40",M,0,
 MEC-TUB,4.2,3017702,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 3 "", S-40",M,0,
 MEC-TUB,4.2,3017704,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 4 "", S-40",M,0,
 MEC-TUB,4.2,CATALOGAR,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 6 "", S-40",M,0,
 MEC-TUB,4.2,CATALOGAR,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 8 "", S-40",M,0,
 MEC-TUB,4.2,3017700,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 1 "", S-160",M,0,
 MEC-TUB,4.2,3017703,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 3/4 "", S-160",M,0,
 MEC-TUB,4.2,3017686,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.19 BE SEAMLESS ASTM A312 TP 316, 2 "", S-10S",M,0,
 MEC-TUB,4.2,3017687,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.19 PE SEAMLESS ASTM A312 TP 316, 1/2 "", S-160",M,0,
