,LINE_NUM,QTY,common_index
4,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",64,"CS2SA1 BOLT 0"" - -"
5,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",36,"CS2SA1 BOLT 0"" - -"
6,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",2,"CS2SA1 NIP 1/2"" 0mm -"
7,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",2,"CS2SA1 NIP 1"" 0mm -"
8,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",2,"CS2SA1 BAL 3/4"" - -"
9,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",4,"CS2SA1 BAL 4"" - -"
10,"12""-CRU-110-CPE6-CLHAM64-101-A1A2-N",1,"CS2SA1 GAT 12"" - -"
23,"4""-CRU-110-HAM-106D-A1A2-N",56,"CS2SA1 BOLT 0"" - -"
24,"4""-CRU-110-HAM-106D-A1A2-N",1,"CS2SA1 NIP 3/4"" 0mm -"
25,"4""-CRU-110-HAM-106D-A1A2-N",6,"CS2SA1 BAL 3/4"" - -"
26,"4""-CRU-110-HAM-106D-A1A2-N",1,"CS2SA1 CHS 4"" - -"
27,"4""-CRU-110-HAM-106D-A1A2-N",1,"CS2SA1 BAL 4"" - -"
30,"4""-CRU-110-HAM-106D-A1A2-N",1,"CS2SA1 TEE 4"" 4"" -"
31,"4""-CRU-110-HAM-106D-A1A2-N",2,"CS2SA1 PLG 3/4"" - -"
43,"6""-CRU-110-CPE6-CLHAM64-101-A1A2-N",44,"CS2SA1 BOLT 0"" - -"
44,"6""-CRU-110-CPE6-CLHAM64-101-A1A2-N",80,"CS2SA1 BOLT 0"" - -"
45,"6""-CRU-110-CPE6-CLHAM64-101-A1A2-N",16,"CS2SA1 BOLT 0"" - -"
46,"6""-CRU-110-CPE6-CLHAM64-101-A1A2-N",1,"CS2SA1 BAL 3/4"" - -"
47,"6""-CRU-110-CPE6-CLHAM64-101-A1A2-N",4,"CS2SA1 BAL 3"" - -"
48,"6""-CRU-110-CPE6-CLHAM64-101-A1A2-N",1,"CS2SA1 CHS 3"" - -"
49,"6""-CRU-110-CPE6-CLHAM64-101-A1A2-N",4,"CS2SA1 BAL 4"" - -"
50,"6""-CRU-110-CPE6-CLHAM64-101-A1A2-N",1,"CS2SA1 GAT 4"" - -"
57,"6""-CRU-110-CPE6-CLHAM64-101-A1A2-N",2,"CS2SA1 TEE 3"" 3"" -"
