,LINE_NUM_x,SPEC_x,TYPE_CODE_x,FIRST_SIZE_NUMBER_x,RATING_x,QTY_x,common_index,LINE_NUM_y,SPEC_y,TYPE_CODE_y,FIRST_SIZE_NUMBER_y,RATING_y,QTY_y
0,"CS2SA1-1""-DRE-1-5-009",CS2SA1,BAL,1,800,1,,,,,,,
1,"CS2SA1-1""-DRE-1-5-010",CS2SA1,GAT,1,800,1,,,,,,,
2,"CS2SA1-1""-DRE-1-5-011",CS2SA1,BAL,1,800,1,,,,,,,
3,"CS2SA1-1""-DRE-1-5-012",CS2SA1,GAT,1,800,1,,,,,,,
4,"CS2SA1-8""-ALV-1-5-001",CS2SA1,DBB,2,150,4,,,,,,,
5,"CS2SA1-8""-ALV-1-5-003",CS2SA1,DBB,2,150,4,,,,,,,
6,"CS4SA1-6""-ALV-1-5-002",CS4SA1,BAL,2,600,1,,"CS4SA1-6""-ALV-1-5-002",CS4SA1,BAL,2,600,3
7,"CS4SA1-6""-ALV-1-5-002",CS4SA1,DBB,2,600,2,,,,,,,
8,"CS4SA1-6""-ALV-1-5-004",CS4SA1,BAL,2,600,1,,"CS4SA1-6""-ALV-1-5-004",CS4SA1,BAL,2,600,3
9,"CS4SA1-6""-ALV-1-5-004",CS4SA1,DBB,2,600,2,,,,,,,
10,,,,,,,,"CS2SA1-8""-ALV-1-5-001",CS2SA1,BAL,2,150,4
11,,,,,,,,"CS2SA1-8""-ALV-1-5-003",CS2SA1,BAL,2,150,4
12,,,,,,,,"CS4SA1-6""-ALV-1-5-002",CS4SA1,GLB,2,600,1
13,,,,,,,,"CS2SA1-3""-ALV-1-5-005",CS2SA1,BAL,3,150,1
14,,,,,,,,"CS2SA1-3""-ALV-1-5-005",CS2SA1,GAT,1,800,1
15,,,,,,,,"CS2SA1-3""-ALV-1-5-006",CS2SA1,BAL,3,150,1
16,,,,,,,,"CS2SA1-3""-ALV-1-5-006",CS2SA1,GAT,1,800,1
