RATING,DIAMETER,DIAMETER_NUMBER,FACE,QUANTITY,BOLT_DIAMETER,BOLT_DIAM_NUM,BOLT_LENGTH,BOLT_WEIGHT,TAG
150,"1/2""",0.5,RF,4,"1/2""",0.5,70,0.125,-
150,"3/4""",0.75,RF,4,"1/2""",0.5,70,0.125,-
150,"1""",1,RF,4,"1/2""",0.5,75,0.129,-
150,"1-1/2""",1.5,RF,4,"1/2""",0.5,85,0.137,-
150,"2""",2,RF,4,"5/8""",0.625,90,0.222,-
150,"2-1/2""",2.5,RF,4,"5/8""",0.625,95,0.229,-
150,"3""",3,RF,4,"5/8""",0.625,100,0.235,-
150,"4""",4,RF,8,"5/8""",0.625,100,0.235,-
150,"5""",5,RF,8,"3/4""",0.75,115,0.401,-
150,"6""",6,RF,8,"3/4""",0.75,115,0.401,-
150,"8""",8,RF,8,"3/4""",0.75,120,0.41,-
150,"10""",10,RF,12,"7/8""",0.875,125,0.592,-
150,"12""",12,RF,12,"7/8""",0.875,135,0.617,-
150,"14""",14,RF,12,"1""",1,145,0.873,-
150,"16""",16,RF,16,"1""",1,150,0.89,-
150,"18""",18,RF,16,"1-1/8""",1.125,165,1.245,-
150,"20""",20,RF,20,"1-1/8""",1.125,170,1.266,-
150,"24""",24,RF,20,"1-1/4""",1.25,190,1.721,-
150,"1/2""",0.5,RTJ,4,"1/2""",0.5,0,0,-
150,"3/4""",0.75,RTJ,4,"1/2""",0.5,0,0,-
150,"1""",1,RTJ,4,"1/2""",0.5,85,0.137,-
150,"1-1/2""",1.5,RTJ,4,"1/2""",0.5,90,0.141,-
150,"2""",2,RTJ,4,"5/8""",0.625,100,0.235,-
150,"3""",3,RTJ,4,"5/8""",0.625,115,0.254,-
150,"4""",4,RTJ,8,"5/8""",0.625,115,0.254,-
150,"6""",6,RTJ,8,"3/4""",0.75,120,0.41,-
150,"8""",8,RTJ,8,"3/4""",0.75,125,0.42,-
150,"10""",10,RTJ,12,"7/8""",0.875,140,0.63,-
150,"12""",12,RTJ,12,"7/8""",0.875,140,0.63,-
150,"14""",14,RTJ,12,"1""",1,160,0.923,-
150,"16""",16,RTJ,16,"1""",1,160,0.923,-
150,"18""",18,RTJ,16,"1-1/8""",1.125,170,1.266,-
150,"20""",20,RTJ,20,"1-1/8""",1.125,185,1.331,-
150,"24""",24,RTJ,20,"1-3/8""",1.375,195,1.375,-
300,"1/2""",0.5,RF,4,"1/2""",0.5,75,0.129,-
300,"3/4""",0.75,RF,4,"5/8""",0.625,85,0.216,-
300,"1""",1,RF,4,"5/8""",0.625,90,0.222,-
300,"1-1/2""",1.5,RF,4,"3/4""",0.75,100,0.373,-
300,"2""",2,RF,8,"5/8""",0.625,95,0.229,-
300,"3""",3,RF,8,"3/4""",0.75,120,0.41,-
300,"4""",4,RF,8,"3/4""",0.75,125,0.42,-
300,"6""",6,RF,12,"3/4""",0.75,135,0.438,-
300,"8""",8,RF,12,"7/8""",0.875,150,0.656,-
300,"10""",10,RF,16,"1""",1,170,0.957,-
300,"12""",12,RF,16,"1-1/8""",1.125,185,1.331,-
300,"14""",14,RF,20,"1-1/8""",1.125,190,1.353,-
300,"16""",16,RF,20,"1-3/8""",1.375,205,2.26,-
300,"18""",18,RF,24,"1-3/8""",1.375,210,2.293,-
300,"20""",20,RF,24,"1-3/8""",1.375,220,2.36,-
300,"24""",24,RF,24,"1-5/8""",1.625,250,3.846,-
300,"1/2""",0.5,RTJ,4,"1/2""",0.5,85,0.137,-
300,"3/4""",0.75,RTJ,4,"5/8""",0.625,95,0.229,-
300,"1""",1,RTJ,4,"5/8""",0.625,95,0.229,-
300,"1-1/2""",1.5,RTJ,4,"3/4""",0.75,115,0.401,-
300,"2""",2,RTJ,8,"5/8""",0.625,110,0.248,-
300,"3""",3,RTJ,8,"3/4""",0.75,135,0.438,-
300,"4""",4,RTJ,8,"3/4""",0.75,140,0,-
300,"6""",6,RTJ,12,"3/4""",0.75,145,0,-
300,"8""",8,RTJ,12,"7/8""",0.875,165,0.694,-
300,"10""",10,RTJ,16,"1""",1,185,1.007,-
300,"12""",12,RTJ,16,"1-1/8""",1.125,195,1.374,-
300,"14""",14,RTJ,20,"1-1/8""",1.125,205,1.418,-
300,"16""",16,RTJ,20,"1-3/8""",1.375,215,0,-
300,"18""",18,RTJ,24,"1-3/8""",1.375,220,2.36,-
300,"20""",20,RTJ,24,"1-3/8""",1.375,235,1.548,-
300,"24""",24,RTJ,24,"1-5/8""",1.625,265,0,-
600,"1/2""",0.5,RF,4,"1/2""",0.5,90,0.141,-
600,"3/4""",0.75,RF,4,"5/8""",0.625,95,0.229,-
600,"1""",1,RF,4,"5/8""",0.625,100,0.235,-
600,"1-1/2""",1.5,RF,4,"3/4""",0.75,120,0.41,-
600,"2""",2,RF,8,"5/8""",0.625,115,0.254,-
600,"3""",3,RF,8,"3/4""",0.75,140,0.448,-
600,"4""",4,RF,8,"7/8""",0.875,160,0.681,-
600,"6""",6,RF,12,"1""",1,185,1.007,-
600,"8""",8,RF,12,"1-1/8""",1.125,210,1.439,-
600,"10""",10,RF,16,"1-1/4""",1.25,230,1.938,-
600,"12""",12,RF,20,"1-1/4""",1.25,235,1.965,-
600,"14""",14,RF,20,"1-3/8""",1.375,250,2.46,-
600,"16""",16,RF,20,"1-1/2""",1.5,265,3.265,-
600,"18""",18,RF,20,"1-5/8""",1.625,285,4.178,-
600,"20""",20,RF,24,"1-5/8""",1.625,305,4.367,-
600,"24""",24,RF,24,"1-7/8""",1.875,335,6.478,-
600,"1/2""",0.5,RTJ,4,"1/2""",0.5,85,0.137,-
600,"3/4""",0.75,RTJ,4,"5/8""",0.625,95,0.229,-
600,"1""",1,RTJ,4,"5/8""",0.625,100,0.235,-
600,"1-1/2""",1.5,RTJ,4,"3/4""",0.75,120,0.41,-
600,"2""",2,RTJ,8,"5/8""",0.625,120,0.261,-
600,"3""",3,RTJ,8,"3/4""",0.75,140,0,-
