SPEC,TYPE,TYPE_CODE,ORDER,DESCRIPTION,SHORT_DESCRIPTION,FIRST_SIZE,FIRST_SIZE_NUMBER,SECOND_SIZE,SECOND_SIZE_NUMBER,SCH,FACE,RATING,WEIGHT,AREA,TAG,SUPPLY_DESCRIPTION,MANUFACTURING_DESCRIPTION,ERECTION_DESCRIPTION,DEMOLITION_DESCRIPTION,Catalogacion,MATERIAL,DESIGN_CODE,MANUFACTURING
CS2SA1,PP,PE,0.0,"ASTM A106 Gr.B, Seamless, ASME B36.10, PE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, PE, SCH 80","1/2""",0.5,-,-,80,PE,-,1.62,21.3,-,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR.  B, 1/2"", S-80","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SA1,PP,PE,0.0,"ASTM A106 Gr.B, Seamless, ASME B36.10, PE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, PE, SCH 80","3/4""",0.75,-,-,80,PE,-,2.2,26.7,-,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR.  B, 3/4"", S-80","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SA1,PP,PE,0.0,"ASTM A106 Gr.B, Seamless, ASME B36.10, PE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, PE, SCH 80","1""",1.0,-,-,80,PE,-,3.24,33.4,-,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR.  B, 1"", S-80","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SA1,PP,PE,0.0,"ASTM A106 Gr.B, Seamless, ASME B36.10, PE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, PE, SCH 80","1-1/2""",1.5,-,-,80,PE,-,5.41,48.3,-,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR.  B, 1-1/2"", S-80","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SA1,PP,BE,1.0,"ASTM A106 Gr.B, Seamless, ASME B36.10, BE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 40","2""",2.0,-,-,40,BE,-,5.44,60.3,-,"SUMINISTRO DE PIPE ASME B36.10 BE SEAMLESS ASTM A106 GR.  B, 2"", S-40","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 2"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 2""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 2"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SA1,PP,BE,1.0,"ASTM A106 Gr.B, Seamless, ASME B36.10, BE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 40","3""",3.0,-,-,40,BE,-,11.29,88.9,-,"SUMINISTRO DE PIPE ASME B36.10 BE SEAMLESS ASTM A106 GR.  B, 3"", S-40","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 3"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 3""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 3"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SA1,PP,BE,1.0,"ASTM A106 Gr.B, Seamless, ASME B36.10, BE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 40","4""",4.0,-,-,40,BE,-,16.08,114.3,-,"SUMINISTRO DE PIPE ASME B36.10 BE SEAMLESS ASTM A106 GR.  B, 4"", S-40","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 4"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 4""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 4"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SA1,PP,BE,1.0,"ASTM A106 Gr.B, Seamless, ASME B36.10, BE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 40","6""",6.0,-,-,40,BE,-,28.26,168.3,-,"SUMINISTRO DE PIPE ASME B36.10 BE SEAMLESS ASTM A106 GR.  B, 6"", S-40","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 6"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 6""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 6"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SA1,PP,BE,1.0,"ASTM A106 Gr.B, Seamless, ASME B36.10, BE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 20","8""",8.0,-,-,20,BE,-,33.32,219.1,-,"SUMINISTRO DE PIPE ASME B36.10 BE SEAMLESS ASTM A106 GR.  B, 8"", S-20","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 8"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 8""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 8"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",3028425.0,ASTM A106 GR B,ASME B36.10,SMLS
CS2SA1,PP,BE,1.0,"ASTM A106 Gr.B, Seamless, ASME B36.10, BE","PIPE, SMLS, CS, ASTM A106 GR B, ASME B36.10, BE, SCH 30","10""",10.0,-,-,30,BE,-,51.01,273.1,-,"SUMINISTRO DE PIPE ASME B36.10 BE SEAMLESS ASTM A106 GR.  B, 10"", S-30","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 10"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 10""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 10"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
