SPEC,TYPE,TYPE_CODE,ORDER,DESCRIPTION,SHORT_DESCRIPTION,FIRST_SIZE,FIRST_SIZE_NUMBER,SECOND_SIZE,SECOND_SIZE_NUMBER,SCH,FACE,RATING,WEIGHT,AREA,TAG,SUPPLY_DESCRIPTION,MANUFACTURING_DESCRIPTION,ERECTION_DESCRIPTION,DEMOLITION_DESCRIPTION
CS4SA1,PP,PE,1,"ASTM A106 Gr.B, S-160, Seamless, ASME B36.10, PE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, PE, SCH 160","1/2""",0.5,-,-,160,PE,-,1.95,21.3,-,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR.  B, 1/2 "", S-160","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 ""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2 ""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS4SA1,PP,PE,1,"ASTM A106 Gr.B, S-160, Seamless, ASME B36.10, PE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, PE, SCH 160","3/4""",0.75,-,-,160,PE,-,2.9,26.7,-,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR.  B, 3/4 "", S-160","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 ""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2 ""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS4SA1,PP,PE,1,"ASTM A106 Gr.B, S-160, Seamless, ASME B36.10, PE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, PE, SCH 160","1""",1,-,-,160,PE,-,4.24,33.4,-,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR.  B, 1 "", S-160","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 ""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2 ""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS4SA1,PP,PE,1,"ASTM A106 Gr.B, S-160, Seamless, ASME B36.10, PE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, PE, SCH 160","1-1/2""",1.5,-,-,160,PE,-,7.25,48.3,-,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR.  B, 1 1/2 "", S-160","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 ""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2 ""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS4SA1,PP,BE,1,"API 5L Gr.B, S-40, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.B, ASME B36.10, PSL2, BE, SCH 40","2""",2,-,-,40,BE,-,5.44,60.3,-,"SUMINISTRO DE PIPE, SCH 40, SMLS, BE, API 5L GR. B, PSL2, ASME B36.10, DIAM. 2""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 2"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 2”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS4SA1,PP,BE,1,"API 5L Gr.B, S-40, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.B, ASME B36.10, PSL2, BE, SCH 40","3""",3,-,-,40,BE,-,11.29,88.9,-,"SUMINISTRO DE PIPE, SCH 40, SMLS, BE, API 5L GR. B, PSL2, ASME B36.10, DIAM. 3""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 3"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 3”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 3 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS4SA1,PP,BE,1,"API 5L Gr.B, S-40, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.B, ASME B36.10, PSL2, BE, SCH 40","4""",4,-,-,40,BE,-,16.08,114.3,-,"SUMINISTRO DE PIPE, SCH 40, SMLS, BE, API 5L GR. B, PSL2, ASME B36.10, DIAM. 4""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 4"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 4”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 4 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS4SA1,PP,BE,1,"API 5L Gr.B, S-40, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.B, ASME B36.10, PSL2, BE, SCH 40","6""",6,-,-,40,BE,-,28.26,168.3,-,"SUMINISTRO DE PIPE, SCH 40, SMLS, BE, API 5L GR. B, PSL2, ASME B36.10, DIAM. 6""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 6"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 6”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 6 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS4SA1,PP,BE,1,"API 5L Gr.B, S-40, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.B, ASME B36.10, PSL2, BE, SCH 40","8""",8,-,-,40,BE,-,42.55,219.1,-,"SUMINISTRO DE PIPE, SCH 40, SMLS, BE, API 5L GR. B, PSL2, ASME B36.10, DIAM. 8""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 8"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 8”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 8 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS4SA1,PP,BE,1,,,"10""",10,-,-,,BE,-,,273.1,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 10"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 10”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 10 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
