AREA,CODE,CATALOG,TITLE,DESCRIPTION,UNIT,QTY
MEC-TUB,4.2,3028425,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 BE SEAMLESS ASTM A106 GR.  B, 8"", S-20",M,
MEC-TUB,4.2,3028426,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 BE SEAMLESS ASTM A53 GR.  B, 2"", S-40",M,
MEC-TUB,4.2,3028427,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 2"", S-40",M,
MEC-TUB,4.2,3028428,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 3"", S-40",M,
MEC-TUB,4.2,3028429,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 4"", S-40",M,
MEC-TUB,4.2,3028430,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 6"", S-40",M,
MEC-TUB,4.2,3028431,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 8"", S-40",M,
MEC-TUB,4.2,3028432,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 1"", S-160",M,
MEC-TUB,4.2,3028433,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.10 PE SEAMLESS ASTM A106 GR. B, 3/4"", S-160",M,
MEC-TUB,4.2,3028434,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.19 BE SEAMLESS ASTM A312 TP 316, 2"", S-10S",M,
MEC-TUB,4.2,3028435,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.19 PE SEAMLESS ASTM A312 TP 316, 1/2"", S-160",M,
MEC-TUB,4.2,3028436,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.19 PE SEAMLESS ASTM API 5L GR. B ASME B36.10 PSL2 3"", S-40",M,
MEC-TUB,4.2,3028437,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.19 PE SEAMLESS ASTM API 5L GR. B ASME B36.10 PSL2 4"", S-40",M,
MEC-TUB,4.2,3028438,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE, SCH 80, SMLS, PE, ASTM A333 GR. 6, ASME B36.10, DIAM. 1""",M,
MEC-TUB,4.2,3028439,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.19 PE SEAMLESS ASTM API 5L GR. B ASME B36.10 PSL2 2"", S-80",M,
MEC-TUB,4.2,3028440,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE ASME B36.19 PE SEAMLESS ASTM API 5L GR. B ASME B36.10 PSL2 6"", S-80",M,
MEC-TUB,4.2,3028441,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE, SCH 80, SMLS, BE, API 5L GR. B, PSL2, ASME B36.10, DIAM. 8""",M,
