RATING,DIAMETER,DIAMETER_NUMBER,FACE,QUANTITY,BOLT_DIAMETER,BOLT_DIAM_NUM,BOLT_LENGTH,BOLT_WEIGHT
150,"1/2""",0.5,RF,4,"1/2""",0.5,55,0.113
150,"3/4""",0.75,RF,4,"1/2""",0.5,65,0.121
150,"1""",1,RF,4,"1/2""",0.5,65,0.121
150,"1-1/2""",1.5,RF,4,"1/2""",0.5,70,0.125
150,"1/2""",0.5,RTJ,4,"1/2""",0.5,55,0.113
150,"3/4""",0.75,RTJ,4,"1/2""",0.5,65,0.121
150,"1""",1,RTJ,4,"1/2""",0.5,75,0.129
150,"1-1/2""",1.5,RTJ,4,"1/2""",0.5,85,0.137
300,"1/2""",0.5,RF,4,"1/2""",0.5,65,0.121
300,"1/2""",0.5,RTJ,4,"1/2""",0.5,75,0.129
600,"1/2""",0.5,RF,4,"1/2""",0.5,75,0.129
600,"1/2""",0.5,RTJ,4,"1/2""",0.5,75,0.129
150,"2""",2,RF,4,"5/8""",0.625,85,0.216
150,"3""",3,RF,4,"5/8""",0.625,90,0.222
150,"4""",4,RF,8,"5/8""",0.625,90,0.222
150,"2""",2,RTJ,4,"5/8""",0.625,95,0.229
150,"3""",3,RTJ,4,"5/8""",0.625,100,0.248
150,"4""",4,RTJ,8,"5/8""",0.625,100,0.248
300,"3/4""",0.75,RF,4,"5/8""",0.625,75,0.203
300,"1""",1,RF,4,"5/8""",0.625,75,0.203
300,"2""",2,RF,8,"5/8""",0.625,90,0.222
300,"3/4""",0.75,RTJ,4,"5/8""",0.625,90,0.222
300,"1""",1,RTJ,4,"5/8""",0.625,90,0.222
300,"2""",2,RTJ,8,"5/8""",0.625,100,0.248
600,"3/4""",0.75,RF,4,"5/8""",0.625,90,0.222
600,"1""",1,RF,4,"5/8""",0.625,90,0.222
600,"2""",2,RF,8,"5/8""",0.625,110,0.248
600,"3/4""",0.75,RTJ,4,"5/8""",0.625,90,0.222
600,"1""",1,RTJ,4,"5/8""",0.625,90,0.222
600,"2""",2,RTJ,8,"5/8""",0.625,110,0.248
150,"6""",6,RF,8,"3/4""",0.75,100,0.373
150,"8""",8,RF,8,"3/4""",0.75,110,0.391
150,"6""",6,RTJ,8,"3/4""",0.75,115,0.401
150,"8""",8,RTJ,8,"3/4""",0.75,120,0.41
300,"1-1/2""",1.5,RF,4,"3/4""",0.75,90,0.354
300,"3""",3,RF,8,"3/4""",0.75,110,0.391
300,"4""",4,RF,8,"3/4""",0.75,115,0.401
300,"6""",6,RF,12,"3/4""",0.75,120,0.41
300,"1-1/2""",1.5,RTJ,4,"3/4""",0.75,100,0.373
300,"3""",3,RTJ,8,"3/4""",0.75,120,0.41
300,"4""",4,RTJ,8,"3/4""",0.75,125,0.42
300,"6""",6,RTJ,12,"3/4""",0.75,140,0.448
600,"1-1/2""",1.5,RF,4,"3/4""",0.75,110,0.391
600,"3""",3,RF,8,"3/4""",0.75,125,0.42
600,"1-1/2""",1.5,RTJ,4,"3/4""",0.75,110,0.391
600,"3""",3,RTJ,8,"3/4""",0.75,125,0.42
900,"1/2""",0.5,RF,4,"3/4""",0.75,110,0.391
900,"3/4""",0.75,RF,4,"3/4""",0.75,115,0.401
900,"1/2""",0.5,RTJ,4,"3/4""",0.75,110,0.391
900,"3/4""",0.75,RTJ,4,"3/4""",0.75,115,0.401
1500,"1/2""",0.5,RF,4,"3/4""",0.75,110,0.391
1500,"3/4""",0.75,RF,4,"3/4""",0.75,115,0.401
1500,"1/2""",0.5,RTJ,4,"3/4""",0.75,110,0.391
