,LINE_NUM_x,SPEC_x,TYPE_CODE_x,FIRST_SIZE_NUMBER_x,RATING_x,QTY_x,TAG_x,common_index,LINE_NUM_y,SPEC_y,TYPE_CODE_y,FIRST_SIZE_NUMBER_y,RATING_y,QTY_y,TAG_y
0,"CS2SA1-1/2""-DRE-1-5-006",CS2SA1,BAL,"0,5",800,"1,00",BAV24G0I1C,"CS2SA1-1/2""-DRE-1-5-006 CS2SA1 BAL 0,5 BAV24G0I1C","CS2SA1-1/2""-DRE-1-5-006",CS2SA1,BAL,"0,5","800,00","1,00",BAV24G0I1C
1,"CS2SA1-1/2""-DRE-1-5-006",CS2SA1,CHL,"0,5",800,"1,00",CLV24F0B2B,"CS2SA1-1/2""-DRE-1-5-006 CS2SA1 CHL 0,5 CLV24F0B2B","CS2SA1-1/2""-DRE-1-5-006",CS2SA1,CHL,"0,5","800,00","1,00",CLV24F0B2B
2,"CS2SA1-4""-SUM-1-5-004",CS2SA1,BAL,"4,00",150,"1,00",BAV21A0F1C,"CS2SA1-4""-SUM-1-5-004 CS2SA1 BAL 4,00 BAV21A0F1C","CS2SA1-4""-SUM-1-5-004",CS2SA1,BAL,"4,00","150,00","1,00",BAV21A0F1C
3,"CS2SA1-4""-SUM-1-5-004",CS2SA1,CHS,"4,00",150,"1,00",CKV21A0B2B,"CS2SA1-4""-SUM-1-5-004 CS2SA1 CHS 4,00 CKV21A0B2B","CS2SA1-4""-SUM-1-5-004",CS2SA1,CHS,"4,00","150,00","1,00",CKV21A0B2B
4,"CS2SA1-4""-SUM-1-5-004",CS2SA1,DBB,"0,75",150,"1,00",MFV21A0I2I,"CS2SA1-4""-SUM-1-5-004 CS2SA1 DBB 0,75 MFV21A0I2I","CS2SA1-4""-SUM-1-5-004",CS2SA1,DBB,"0,75","150,00","1,00",MFV21A0I2I
5,"CS2SA1-4""-SUM-1-5-005",CS2SA1,BAL,"4,00",150,"1,00",BAV21A0F1C,"CS2SA1-4""-SUM-1-5-005 CS2SA1 BAL 4,00 BAV21A0F1C","CS2SA1-4""-SUM-1-5-005",CS2SA1,BAL,"4,00","150,00","1,00",BAV21A0F1C
6,"CS2SA1-4""-SUM-1-5-005",CS2SA1,CHS,"4,00",150,"1,00",CKV21A0B2B,"CS2SA1-4""-SUM-1-5-005 CS2SA1 CHS 4,00 CKV21A0B2B","CS2SA1-4""-SUM-1-5-005",CS2SA1,CHS,"4,00","150,00","1,00",CKV21A0B2B
7,"CS2SA1-6""-SUM-1-5-001",CS2SA1,BAL,"6,00",150,"1,00",BAV21A0F1C,"CS2SA1-6""-SUM-1-5-001 CS2SA1 BAL 6,00 BAV21A0F1C","CS2SA1-6""-SUM-1-5-001",CS2SA1,BAL,"6,00","150,00","1,00",BAV21A0F1C
8,"CS2SA1-6""-SUM-1-5-001",CS2SA1,DBB,"0,75",150,"1,00",MFV21A0I2I,"CS2SA1-6""-SUM-1-5-001 CS2SA1 DBB 0,75 MFV21A0I2I","CS2SA1-6""-SUM-1-5-001",CS2SA1,DBB,"0,75","150,00","1,00",MFV21A0I2I
9,"CS2SA1-6""-SUM-1-5-002",CS2SA1,BAL,"6,00",150,"1,00",BAV21A0F1C,"CS2SA1-6""-SUM-1-5-002 CS2SA1 BAL 6,00 BAV21A0F1C","CS2SA1-6""-SUM-1-5-002",CS2SA1,BAL,"6,00","150,00","1,00",BAV21A0F1C
10,"CS2SA1-6""-SUM-1-5-002",CS2SA1,DBB,"0,75",150,"3,00",MFV21A0I2I,"CS2SA1-6""-SUM-1-5-002 CS2SA1 DBB 0,75 MFV21A0I2I","CS2SA1-6""-SUM-1-5-002",CS2SA1,DBB,"0,75","150,00","3,00",MFV21A0I2I
11,"CS2SA1-6""-SUM-1-5-003",CS2SA1,BAL,"6,00",150,"1,00",BAV21A0F1C,"CS2SA1-6""-SUM-1-5-003 CS2SA1 BAL 6,00 BAV21A0F1C","CS2SA1-6""-SUM-1-5-003",CS2SA1,BAL,"6,00","150,00","1,00",BAV21A0F1C
12,"CS2SA1-6""-SUM-1-5-003",CS2SA1,DBB,"0,75",150,"3,00",MFV21A0I2I,"CS2SA1-6""-SUM-1-5-003 CS2SA1 DBB 0,75 MFV21A0I2I","CS2SA1-6""-SUM-1-5-003",CS2SA1,DBB,"0,75","150,00","3,00",MFV21A0I2I
